,generation,entropy
0,1,10.11118564163309
1,2,12.874655073001447
2,3,12.697803888011101
3,4,12.736653393550904
4,5,12.83028074405775
5,6,13.07220661516049
6,7,13.079448183382947
7,8,12.96040092275209
8,9,12.75977534727953
9,10,12.412669858788494
10,11,12.136757030500815
11,12,11.72599058565366
12,13,11.122193427093853
13,14,10.561283442451805
14,15,9.615386632790411
15,16,8.251170699094349
16,17,5.32306798227366
